Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
2552,1971,Qtr 2,May,28,Aero Commander AC,Aero Commander 680EN601JJ,Roanoke Virginia,Private,0,6,6,USA,1971-05-28,Friday
2553,1971,Qtr 2,June,6,McDonnell Douglas,McDonnell Douglas DC 9,Near Duarte California,Corps Air Marine US - Military /  Airwest Hughes,0,50,51,USA,1971-06-06,Sunday
2554,1971,Qtr 2,June,7,Convair,Convair CV 580N5832,New Haven Connecticut,Airlines Allegheny,0,28,31,USA,1971-06-07,Monday
2555,1971,Qtr 2,June,13,Boeing,Boeing   EC,North Pacific OceanMilitary - U.S. Air Force,Unknown,0,24,24,USA,1971-06-13,Sunday
2556,1971,Qtr 2,June,17,McDonnell Douglas,Douglas DC 6CP,Near Arica Chile,SAVCO,0,6,6,Chile,1971-06-17,Thursday
2557,1971,Qtr 2,June,28,McDonnell Douglas,Douglas DC 3N90627,Garberville California,Park Sea Cove Shelter,0,17,24,USA,1971-06-28,Monday
2558,1971,Qtr 3,July,3,NAMC,NAMC YS 11A,Hokkaido Japan,(Japan) Airline Domestic Toa,0,68,68,Japan,1971-07-03,Saturday
2559,1971,Qtr 3,July,24,McDonnell Douglas,Douglas DC 36V,Near Bamako Mali,Ivoire Air,0,6,6,Mali,1971-07-24,Saturday
2560,1971,Qtr 3,July,25,Boeing,Boeing 707 321CFN461PA,Manila Philippines,Airways World American Pan,0,4,4,Philippines,1971-07-25,Sunday
2561,1971,Qtr 3,July,25,Tupolev,Tupolev TU 104BCCCP,Near Irkutsk Russia,Aeroflot,0,97,126,Russia,1971-07-25,Sunday
2562,1971,Qtr 3,July,30,Boeing,Boeing B 747,San Francisco California,Airways World American Pan,0,0,218,USA,1971-07-30,Friday
2563,1971,Qtr 3,July,30,Boeing,Boeing B 727,Near Morioko Japan,Force Air Japanese  / Airways Nippon All,0,163,164,Japan,1971-07-30,Friday
2564,1971,Qtr 3,July,30,Nord,Nord 2501 Noratlas49,Near Pau France,Force Air French - Military,0,37,39,France,1971-07-30,Friday
